Distrito,Latitud,Longitud,Indice_Seguridad,Proximidad_Vias_Principales_km,Area_Total_m2,Area_Techada_m2,Habitaciones,Banos,Antiguedad_Anios,Estacionamientos,Viabilidad_Pozo_Agua,Potencial_Energia_Solar,Zonificacion,Estado_Independizacion,Modalidad_Compra,Precio_Publicado_USD,Precio_M2_Referencial_Zona
Ate,-12.005878415750797,-76.86997253909989,4,4.43,55,43.08,1,1,15,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,39548.56,1100
Pueblo Libre,-11.893548644973313,-76.80996367200146,8,3.72,169,144.29,4,2,9,2,0,0,Residencial Media Densidad,1,Contado,248832.12,1600
San Borja,-12.01914014010078,-76.92317100001875,9,0.72,131,121.07,3,2,37,0,0,0,Residencial Alta Densidad,1,Contado,228081.4,2100
Santa María del Mar,-12.173656850031492,-76.8863342642241,9,0.34,158,143.28,4,2,35,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,238915.76,2000
Ate,-12.209826967240703,-77.0683827744356,4,2.95,224,157.24,4,2,29,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,113143.02,1100
Miraflores,-12.0001551954488,-76.99545959387942,9,0.78,72,55.22,1,1,25,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,121828.18,2400
San Juan de Miraflores,-12.01669570484705,-77.09180647836182,4,4.58,124,113.12,3,2,7,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,95236.78,1000
Jesús María,-12.134147455240553,-77.22895702371697,8,0.33,77,67.29,1,1,23,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,99762.97,1700
Pachacámac,-11.993773753554578,-77.14325760546154,6,0.53,1000,233.73,4,1,14,2,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,93620.94,400
Puente Piedra,-11.925371877254618,-77.02961484082188,4,1.56,200,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,183864.89,850
Punta Negra,-12.088425835193082,-77.02459288287402,7,4.41,212,150.04,4,2,18,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,158066.1,1200
Villa El Salvador,-12.028262363678067,-76.96848101358064,4,4.68,1000,0.0,0,0,0,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,722444.24,800
Rímac,-12.161688834033646,-76.90575223552572,4,1.97,77,75.54,2,1,22,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,64207.27,1000
Lince,-12.321917647605526,-77.15095528154579,7,1.88,141,134.85,3,2,26,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,220264.36,1800
Lima (Cercado),-11.926405215405618,-77.03539976651977,4,4.73,179,175.81,5,3,31,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,155177.13,1300
Barranco,-12.151016685872268,-76.95856641153725,8,4.54,170,139.01,3,2,31,1,0,1,Residencial Alta Densidad,0,Crédito Hipotecario,337899.1,2500
Santa Anita,-12.085584487383027,-76.96250794841951,5,4.35,175,168.13,4,2,34,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,116521.65,1050
Chorrillos,-12.311261256381043,-77.03494556931649,5,2.11,94,66.18,1,1,29,1,0,0,Residencial Media Densidad,1,Contado,67338.19,1400
Miraflores,-12.166376907722054,-77.1570559042067,9,0.14,154,148.54,4,2,30,1,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,365463.68,2400
Comas,-12.186893523382901,-77.05423756496585,4,2.0,284,262.63,7,4,39,2,0,0,Residencial Media Densidad,1,Contado,148267.37,900
Santa Rosa,-12.094997430013319,-76.94034593123438,5,0.47,200,50.76,3,3,12,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,37006.02,600
Lurigancho-Chosica,-11.931310438741319,-77.08769616709175,6,3.82,84,80.19,2,1,37,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,48163.38,800
Breña,-11.919707077071795,-76.93244420805635,5,2.22,242,241.43,6,4,23,0,0,1,Residencial Media Densidad,0,Crédito Hipotecario,268418.14,1300
Puente Piedra,-12.100490676392816,-76.97022116905822,4,4.13,200,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,178627.59,850
La Victoria,-12.031589531021718,-77.08005458654598,3,3.27,158,156.93,4,2,14,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,139772.27,1200
Comas,-11.938864819207893,-76.95133977261301,4,4.15,194,158.0,4,2,29,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,110547.24,900
Punta Hermosa,-12.049196846620303,-77.1281914368713,8,3.03,144,136.72,3,2,29,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,204729.85,1800
Ate,-12.146421015384007,-77.196571018695,4,0.19,270,244.75,6,4,28,1,0,1,Residencial Media Densidad,1,Contado,189352.67,1100
Magdalena del Mar,-11.97303773676197,-76.9534977530556,8,2.32,231,175.58,5,3,28,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,309765.28,1800
Rímac,-12.028805805730093,-76.97948204831096,4,1.37,78,57.81,1,1,29,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,42656.37,1000
Chorrillos,-12.23473424741408,-76.92215421943334,5,3.81,291,212.82,6,4,29,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,217721.1,1400
Cieneguilla,-12.127890143146812,-76.95330723386427,7,1.32,200,70.36,4,1,12,3,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,31655.68,350
San Martín de Porres,-12.024876821179348,-77.08006860614775,4,1.95,251,206.61,5,3,33,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,142562.91,950
La Victoria,-12.046266709145549,-77.08508753726957,3,4.72,266,249.59,7,4,2,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,285305.52,1200
Los Olivos,-12.137474118628592,-77.03534563498998,5,3.56,292,243.91,6,4,36,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,206754.37,1100
San Miguel,-11.830947009802838,-76.93777678179606,7,1.36,112,105.33,3,2,0,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,202007.66,1600
Santiago de Surco,-12.092165341370563,-77.05652294137144,8,3.61,70,69.28,1,1,1,2,0,0,Residencial Alta Densidad,1,Contado,137368.53,1900
Breña,-12.237929830303683,-77.03481935413825,5,0.8,112,106.4,3,2,21,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,108492.83,1300
Ate,-11.830126764594956,-77.1585409391818,4,4.88,85,82.27,2,1,35,2,0,1,Residencial Media Densidad,1,Contado,64044.56,1100
Chaclacayo,-11.980138112608559,-76.9500426497148,7,1.99,270,262.99,7,4,9,0,0,0,Residencial Media Densidad,1,Contado,265429.98,900
Villa El Salvador,-12.199014183068028,-77.08646510975021,4,3.68,1000,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,728399.38,800
Breña,-12.076567708253052,-76.96957292519616,5,3.91,193,169.55,4,2,17,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,194571.29,1300
San Bartolo,-11.942123911849265,-77.04499279368808,7,2.14,54,45.5,1,1,21,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,58213.76,1400
Lurigancho-Chosica,-12.170560968565617,-77.08774711754776,6,3.39,59,47.92,1,1,4,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,36658.2,800
Punta Hermosa,-12.113431313767055,-76.75424888907331,8,2.51,172,169.06,4,2,34,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,282177.06,1800
San Luis,-11.988266270531636,-77.06996133236214,6,4.03,130,105.68,3,2,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,110067.8,1400
El Agustino,-12.08396999509358,-77.0795423202876,3,4.69,104,93.37,2,1,5,0,0,0,Residencial Media Densidad,1,Contado,68529.94,850
San Miguel,-11.915429133583032,-77.09214304640535,7,2.95,59,41.65,1,1,5,0,0,0,Residencial Media Densidad,1,Contado,73307.03,1600
La Victoria,-12.160775939254334,-76.93908872092686,3,0.72,129,92.85,2,1,5,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,87360.91,1200
San Isidro,-12.027063199329618,-77.25807391055234,9,2.86,83,79.89,2,1,19,2,0,0,Residencial Alta Densidad,0,Crédito Hipotecario,209548.37,2600
Lima (Cercado),-12.00269787862688,-77.01359393298138,4,3.83,61,56.0,1,1,33,2,0,0,Residencial Media Densidad,1,Contado,49172.82,1300
Cieneguilla,-11.986059801179058,-76.89772013640294,7,0.85,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,56478.28,350
La Victoria,-12.067900528004595,-77.0098087914117,3,2.01,163,146.39,4,2,1,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,165814.15,1200
Pucusana,-11.913141676435252,-76.97085872436445,5,0.52,205,203.68,5,3,17,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,115385.91,700
Santiago de Surco,-11.884875473357226,-76.93177135074008,8,1.78,107,103.84,2,1,30,2,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,165459.47,1900
Miraflores,-12.008881725889974,-77.12264942761895,9,0.98,248,183.55,5,3,28,0,0,0,Residencial Alta Densidad,1,Contado,406370.0,2400
Lince,-11.989882873551132,-77.01889047796804,7,3.5,184,177.02,5,3,38,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,231868.54,1800
Lurigancho-Chosica,-11.991622116599721,-76.96486657839102,6,1.37,118,101.04,2,1,11,1,0,0,Residencial Media Densidad,1,Contado,81004.89,800
Pueblo Libre,-12.36544789412977,-76.9004547288247,8,1.43,96,70.79,2,1,0,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,117990.3,1600
Punta Hermosa,-12.150177436293976,-77.02149777736295,8,3.51,195,191.83,5,3,22,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,319366.92,1800
Puente Piedra,-12.195779869647101,-77.09347656947408,4,0.93,120,41.71,4,1,3,3,1,1,Alquiler Vacacional,0,Cuotas sin intereses,39486.15,850
Surquillo,-11.978191198379255,-76.98158045078969,6,0.58,134,125.36,3,2,26,2,0,0,Residencial Media Densidad,1,Contado,156312.47,1500
San Bartolo,-12.014626270322516,-77.19930763979123,7,0.35,65,46.46,1,1,8,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,62784.77,1400
Lima (Cercado),-12.110942483959349,-77.0283039436379,4,2.43,241,229.67,6,4,15,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,257194.29,1300
Ancón,-12.168948058720968,-77.01415505192944,5,3.35,200,0.0,0,0,0,2,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,137024.99,600
Puente Piedra,-11.948196853132,-76.95129329303639,4,3.55,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Crédito Hipotecario,106782.52,850
Chorrillos,-11.935746872687298,-77.06503544572075,5,4.27,270,258.53,7,4,4,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,345027.17,1400
Comas,-12.149023508018574,-77.03422484286398,4,0.33,67,57.15,1,1,37,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,35488.53,900
Pueblo Libre,-11.900148764454828,-77.05994000361605,8,1.41,156,144.8,4,2,2,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,273129.41,1600
Ancón,-12.071441478336677,-77.17955672462222,5,0.21,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,1,Crédito Hipotecario,82251.36,600
Cieneguilla,-11.985864456901846,-77.05024898570431,7,3.22,120,19.45,1,1,9,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,15688.62,350
Pueblo Libre,-11.954822783640703,-76.90852853981872,8,3.82,190,186.86,5,3,14,0,0,0,Residencial Media Densidad,1,Contado,312372.71,1600
Independencia,-12.084721781472885,-77.19290991774321,4,0.94,63,62.92,1,1,29,0,0,0,Residencial Media Densidad,1,Contado,46119.32,950
Los Olivos,-12.139803596186702,-77.02256066745556,5,2.16,142,128.24,3,2,21,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,113062.16,1100
Cieneguilla,-12.038387521209952,-77.0056693695,7,0.93,120,39.51,1,2,9,1,1,1,Alquiler Vacacional,0,Crédito Hipotecario,21397.01,350
San Martín de Porres,-12.073091452772905,-76.9952478271663,4,1.86,285,246.88,7,4,30,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,185393.26,950
San Martín de Porres,-11.92089093168538,-77.03468535212552,4,2.32,130,98.24,2,1,10,2,0,0,Residencial Media Densidad,1,Contado,79963.86,950
San Juan de Miraflores,-11.881751937067543,-77.16060786932374,4,4.85,262,235.38,6,4,6,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,195113.94,1000
Carabayllo,-12.01766976604478,-76.92165181044548,4,3.4,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,105236.54,800
Villa El Salvador,-12.051590994684986,-76.98262182659678,4,0.42,200,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Crédito Hipotecario,149345.78,800
Santa Rosa,-11.958829442838672,-76.98680815522921,5,2.48,1000,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,613111.25,600
Surquillo,-12.087099167949042,-77.07084117417803,6,1.48,219,185.35,5,3,4,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,311293.63,1500
Rímac,-12.106661258298084,-77.05168562899276,4,0.19,247,223.11,6,4,17,0,0,0,Residencial Media Densidad,1,Contado,192677.68,1000
Chorrillos,-11.95802602827419,-77.03954726435859,5,3.73,104,100.06,2,1,4,2,0,0,Residencial Media Densidad,1,Contado,136757.1,1400
Comas,-11.969983070383389,-76.96524396533789,4,4.41,214,154.06,4,2,16,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,113690.57,900
Cieneguilla,-11.919806833046044,-77.01912115573678,7,0.2,200,49.28,2,1,14,3,1,1,Residencial Baja Densidad,0,Crédito Hipotecario,25565.14,350
Jesús María,-12.02969584342286,-76.92443707269513,8,4.89,270,216.98,6,4,25,2,0,0,Residencial Media Densidad,1,Contado,372154.19,1700
San Luis,-12.204023586666347,-77.07478152367266,6,1.4,177,166.4,4,2,9,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,229483.14,1400
San Juan de Miraflores,-12.182412241165792,-77.06564031828401,4,2.96,147,116.39,3,2,6,0,0,0,Residencial Media Densidad,1,Contado,102289.01,1000
Pucusana,-12.04023689161328,-77.0743606896093,5,2.82,181,155.87,4,2,25,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,91348.75,700
Pueblo Libre,-11.743913030953694,-76.9397593014018,8,0.27,215,161.57,4,2,22,2,0,0,Residencial Media Densidad,0,Contado,235197.84,1600
Santa Anita,-12.088495442679825,-76.97384819536218,5,3.07,80,59.45,1,1,27,0,0,0,Residencial Media Densidad,1,Contado,47341.86,1050
San Martín de Porres,-12.15211693203821,-77.25340228586009,4,1.81,77,63.52,1,1,21,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,48394.88,950
Santiago de Surco,-11.981293151523698,-77.14165838067912,8,2.58,151,116.45,3,2,21,0,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,229837.26,1900
Pachacámac,-11.930520149777267,-77.10059917310593,6,1.18,500,0.0,0,0,0,3,1,1,Alquiler Vacacional,1,Cuotas sin intereses,213139.96,400
Punta Negra,-12.070082595603228,-77.18273117279473,7,1.99,253,240.26,6,4,23,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,289560.51,1200
San Martín de Porres,-12.103327270471027,-77.02967601031868,4,2.63,77,64.25,1,1,7,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,54618.14,950
Ancón,-11.89664199364317,-77.08877444656872,5,2.15,120,16.45,3,3,1,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,18632.23,600
San Martín de Porres,-12.076720393421175,-76.99124360948326,4,2.05,271,244.28,6,4,27,2,0,1,Residencial Media Densidad,1,Crédito Hipotecario,161902.98,950
Santa Anita,-11.94758032255575,-77.09535168417399,5,1.82,262,249.93,7,4,21,2,0,0,Residencial Media Densidad,1,Contado,231962.2,1050
La Victoria,-12.048253538932086,-77.02672978783436,3,1.77,165,130.79,3,2,28,2,0,0,Residencial Media Densidad,0,Contado,115954.62,1200
Barranco,-12.044422422938233,-76.86043062665033,8,1.76,209,155.12,4,2,31,1,0,0,Residencial Alta Densidad,1,Contado,325091.49,2500
Ancón,-12.188628173093477,-76.93308827630166,5,0.52,120,0.0,0,0,0,2,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,84150.86,600
Carabayllo,-11.939004450329291,-77.15316181162115,4,1.71,120,0.0,0,0,0,3,0,1,Residencial Baja Densidad,0,Cuotas sin intereses,92155.0,800
Punta Hermosa,-12.151243517535978,-77.12248381629121,8,4.01,274,239.76,6,4,11,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,484291.81,1800
La Victoria,-12.034807012269546,-77.15593238066823,3,4.96,218,190.11,5,3,33,1,0,0,Residencial Media Densidad,0,Contado,149518.09,1200
Santa Rosa,-12.028168885188332,-77.08935408894621,5,3.15,120,0.0,0,0,0,1,0,1,Alquiler Vacacional,0,Cuotas sin intereses,75086.13,600
Punta Negra,-11.939091505898674,-76.87909725753347,7,3.61,299,284.25,8,5,10,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,331569.43,1200
Comas,-12.16541609869956,-77.07550167015441,4,2.97,163,114.31,3,2,10,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,88485.3,900
Lima (Cercado),-12.162377921277233,-77.05907643662543,4,2.04,82,79.89,2,1,14,1,0,0,Residencial Media Densidad,0,Crédito Hipotecario,81367.2,1300
Lima (Cercado),-12.241358923650763,-76.98866285682811,4,0.87,105,89.06,2,1,38,0,0,0,Residencial Media Densidad,0,Crédito Hipotecario,72374.08,1300
Punta Hermosa,-12.173366072267823,-77.0515022948285,8,0.24,181,167.72,4,2,13,1,0,0,Residencial Media Densidad,1,Contado,335047.42,1800
Villa El Salvador,-12.029251428166857,-77.06308176023882,4,4.16,120,0.0,0,0,0,1,1,1,Alquiler Vacacional,0,Cuotas sin intereses,92404.81,800
La Molina,-11.878421184885164,-77.07629374628334,9,0.63,290,203.52,5,3,13,1,0,1,Residencial Alta Densidad,1,Contado,401709.44,1900
San Juan de Lurigancho,-11.942235515521155,-77.07851358563236,3,1.4,99,88.41,2,1,39,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,44122.61,900
Santa Rosa,-12.167154852089228,-77.13530843317398,5,3.26,500,0.0,0,0,0,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,329651.44,600
San Juan de Lurigancho,-11.973885304417454,-76.96008539131113,3,2.7,227,182.11,5,3,14,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,121064.56,900
Breña,-11.988225667804945,-77.10861251158136,5,3.26,199,143.28,4,2,3,0,0,0,Residencial Media Densidad,1,Contado,188612.86,1300
San Borja,-11.894078216052801,-77.11139139447636,9,4.2,185,147.97,4,2,8,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,366289.91,2100
Santa Anita,-12.026192159158244,-77.2086128703951,5,0.91,166,145.47,4,2,0,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,167333.77,1050
Pucusana,-12.020766863504432,-76.90556551491082,5,2.71,190,165.08,4,2,31,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,85200.45,700
Santa Rosa,-12.199294504820996,-76.94426302414662,5,3.45,120,39.38,4,2,0,1,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,33495.61,600
Lima (Cercado),-12.22699026829164,-77.11172026801316,4,3.58,269,227.44,6,4,19,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,229522.64,1300
Villa María del Triunfo,-12.083578972962362,-77.10414495141289,3,4.88,58,40.98,1,1,15,1,0,1,Residencial Media Densidad,1,Contado,28701.37,850
San Bartolo,-12.02065514250082,-76.88901348305664,7,0.3,221,198.71,5,3,25,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,241110.95,1400
San Miguel,-11.952602766652191,-76.93081924457448,7,0.97,168,132.35,3,2,17,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,217388.38,1600
La Molina,-12.269394158484651,-76.98973723684702,9,3.73,295,251.19,7,4,8,2,0,1,Residencial Alta Densidad,1,Crédito Hipotecario,576165.84,1900
San Juan de Lurigancho,-12.077989030724812,-76.86016780708458,3,3.69,200,142.71,4,2,32,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,84781.22,900
Chorrillos,-11.850211270734128,-77.03138125384137,5,2.61,167,165.99,4,2,31,2,0,0,Residencial Media Densidad,1,Contado,187763.9,1400
Pachacámac,-12.008555540912514,-77.05589583851794,6,1.19,120,45.72,4,2,7,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,27315.01,400
Rímac,-12.243654237252176,-76.88991919701027,4,3.26,296,269.75,7,4,11,2,0,0,Residencial Media Densidad,0,Crédito Hipotecario,234875.26,1000
Ate,-12.049020717500783,-76.97053753604257,4,3.05,96,92.81,2,1,29,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,76374.63,1100
Villa El Salvador,-12.177757638006465,-76.84998650896,4,1.07,1000,323.84,3,2,3,2,1,1,Alquiler Vacacional,0,Cuotas sin intereses,270788.3,800
Chaclacayo,-11.993169920417433,-76.96500080251563,7,1.01,163,122.43,3,2,37,2,0,0,Residencial Media Densidad,1,Contado,90967.55,900
Rímac,-11.95913372345027,-77.03941797372629,4,3.23,69,58.57,1,1,10,0,0,1,Residencial Media Densidad,1,Crédito Hipotecario,56859.43,1000
Rímac,-12.079702163866887,-77.08239832072364,4,2.25,89,68.15,1,1,34,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,41862.93,1000
Magdalena del Mar,-12.085703181933162,-77.06237989569425,8,0.99,111,80.23,2,1,36,2,0,0,Residencial Media Densidad,1,Crédito Hipotecario,128772.38,1800
San Borja,-11.787528249826815,-77.15965711662183,9,4.23,186,170.43,4,2,12,0,0,0,Residencial Alta Densidad,1,Crédito Hipotecario,393612.27,2100
Independencia,-12.048308932774317,-76.95511180740961,4,3.04,183,133.22,3,2,11,1,0,1,Residencial Media Densidad,1,Crédito Hipotecario,111564.6,950
Rímac,-11.90000884397686,-76.99406736147088,4,0.12,180,147.84,4,2,2,1,0,1,Residencial Media Densidad,1,Contado,144785.43,1000
Puente Piedra,-12.211767214836339,-76.99638575901209,4,4.51,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,113866.15,850
Santa Rosa,-12.117496282406398,-76.88319057631851,5,0.19,120,0.0,0,0,0,3,1,1,Residencial Baja Densidad,1,Cuotas sin intereses,73608.49,600
San Juan de Miraflores,-12.042246897667455,-76.93371238261003,4,2.31,173,127.66,3,2,12,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,102470.31,1000
Ancón,-12.053406524963636,-77.12734607447027,5,2.58,120,34.81,3,3,11,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,28060.19,600
Punta Negra,-12.14078023315985,-77.1316865971933,7,2.66,256,192.92,5,3,16,2,0,0,Residencial Media Densidad,1,Contado,232390.88,1200
La Molina,-12.031228499068222,-77.002461387546,9,0.53,232,167.73,4,2,3,0,0,0,Residencial Alta Densidad,0,Crédito Hipotecario,400739.28,1900
Surquillo,-11.793059258599136,-77.12967729434551,6,2.28,85,75.91,2,1,3,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,120768.32,1500
Barranco,-11.918929874685247,-77.02172732380481,8,2.58,118,113.6,3,2,37,2,0,1,Residencial Alta Densidad,0,Contado,257717.15,2500
Santa Rosa,-12.090286875367095,-76.90211340629631,5,3.28,120,38.34,1,3,10,1,1,1,Residencial Baja Densidad,0,Contado,30480.59,600
Chaclacayo,-12.156532483186272,-77.17109277298736,7,4.54,195,172.55,4,2,15,1,0,1,Residencial Media Densidad,1,Contado,156122.68,900
Cieneguilla,-11.919488226038554,-77.00543508780703,7,3.83,120,0.0,0,0,0,1,1,1,Residencial Baja Densidad,0,Cuotas sin intereses,49411.94,350
Punta Negra,-12.189382811624418,-76.98655147883885,7,4.13,220,193.88,5,3,31,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,190117.26,1200
Comas,-12.170777656514765,-77.05451040968191,4,1.5,102,95.52,2,1,21,1,0,0,Residencial Media Densidad,1,Crédito Hipotecario,67293.9,900
Santa Anita,-12.050986412310193,-77.03840868670159,5,3.51,160,150.83,4,2,31,1,0,0,Residencial Media Densidad,1,Contado,116941.27,1050
San Juan de Miraflores,-12.067591547043618,-77.19055515908995,4,2.79,259,185.71,5,3,26,0,0,0,Residencial Media Densidad,1,Crédito Hipotecario,150171.76,1000
